OTU_ID	May_D_A	July_C_C	May_D_D	May_E_C	July_E_C	May_D_C	July_D_A	July_D_D	July_C_A	July_E_B	May_E_B	May_C_C	July_C_B	July_E_A	May_E_A	May_C_A	July_D_C	May_C_B	July_A_C	May_A_C	July_A_A	July_B_D	May_A_B	May_B_G	July_A_B	May_A_A	July_B_F	May_B_F	May_B_D	July_B_G
denovo138	6	0	7	21	17	1	3	1	0	2	8	0	0	3	6	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
denovo1419	1	0	1	1	3	0	1	0	0	0	1	0	0	0	2	0	5	0	11	7	30	2	3	0	4	1	0	3	1	1
denovo213	1	7	5	8	11	2	1	0	2	3	11	6	0	4	3	0	0	2	0	3	6	0	1	1	1	0	0	0	0	0
denovo184	6	0	7	3	7	20	2	12	0	1	10	1	2	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo402	4	0	4	0	3	5	2	1	0	0	1	4	0	0	8	4	1	12	0	0	0	1	0	9	0	0	5	9	4	0
denovo241	0	4	0	0	0	0	3	0	5	0	1	23	1	0	0	10	0	9	2	2	1	1	1	0	1	6	0	1	5	1
denovo458	20	1	12	2	7	10	1	2	1	0	8	2	1	2	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0
denovo345	0	1	2	2	3	0	0	0	0	1	11	0	1	5	23	0	0	6	0	1	0	0	0	5	0	2	0	1	12	0
denovo397	1	0	2	1	1	0	4	2	0	2	1	0	0	4	3	0	0	0	0	0	0	8	0	13	0	0	6	13	9	6
denovo272	1	6	0	3	4	1	0	0	1	5	1	5	10	1	4	8	0	6	3	0	1	3	1	2	1	0	1	0	8	0
denovo648	2	4	6	11	4	12	2	0	3	3	7	2	2	2	7	0	0	4	1	0	0	2	1	0	0	0	1	0	0	0
denovo274	2	2	4	0	0	2	1	1	3	0	0	7	9	2	3	3	0	9	3	0	1	5	0	3	0	0	0	1	9	5
denovo189	22	0	7	1	2	27	4	4	0	1	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo413	2	7	0	2	8	2	7	1	4	2	3	8	5	3	1	6	1	13	0	0	0	0	0	0	0	0	0	0	0	0
denovo295	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	14	16	10	1	5	1	10	12	1	0	1	0
denovo419	0	2	0	0	0	0	0	0	0	0	0	6	2	0	0	1	0	3	11	18	7	0	9	1	2	2	6	1	3	0
denovo576	9	0	14	2	2	6	1	0	0	1	4	0	0	4	8	0	4	1	0	0	0	0	0	4	0	0	1	1	4	8
denovo773	3	10	1	0	0	3	0	0	2	0	0	11	5	6	9	5	0	5	0	1	0	6	2	1	1	0	0	0	3	0
denovo302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	11	10	0	10	0	12	5	1	2	2	0
denovo877	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	15	21	7	2	6	2	4	8	0	1	0	0
denovo239	2	12	0	1	1	1	2	0	2	1	1	12	5	5	4	6	0	11	1	2	1	1	0	0	1	1	0	0	0	0
denovo157	5	0	3	10	5	12	10	8	3	1	7	5	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
