OTU_ID	May_D_A	July_C_C	May_D_D	May_E_C	July_E_C	May_D_C	July_D_A	July_D_D	July_C_A	July_E_B	May_E_B	May_C_C	July_C_B	July_E_A	May_E_A	May_C_A	July_D_C	May_C_B	July_A_C	May_A_C	July_A_A	July_B_D	May_A_B	May_B_G	July_A_B	May_A_A	July_B_F	May_B_F	May_B_D	July_B_G
denovo365	3	0	2	5	1	13	3	0	1	0	3	0	0	1	3	0	1	1	9	13	6	0	0	0	1	0	0	0	0	0
denovo267	8	2	10	8	3	5	7	4	0	1	2	0	2	0	0	3	0	9	0	0	0	0	0	1	0	0	0	0	1	0
denovo376	0	1	0	7	2	1	0	1	1	0	2	4	0	2	0	5	1	6	2	1	3	6	2	3	1	1	2	6	1	4
denovo118	0	0	0	0	0	0	0	0	0	0	1	2	3	1	0	1	0	3	0	0	0	10	0	16	0	0	12	5	9	2
denovo971	0	3	0	1	0	0	0	0	2	2	4	2	1	3	6	0	0	3	6	5	11	2	2	3	3	0	0	0	4	2
denovo505	2	2	4	10	3	5	0	0	1	1	5	3	0	6	10	2	1	3	2	1	0	0	0	1	0	0	0	0	0	2
denovo221	1	3	1	3	6	0	9	1	3	0	8	4	5	3	2	6	0	8	0	0	0	1	0	0	0	0	0	0	0	0
denovo1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	18	1	0	13	5	5	0	4	0	4
denovo277	1	3	1	5	6	1	5	4	7	0	1	1	2	2	0	6	3	14	0	0	0	2	0	0	0	0	0	0	0	0
denovo1068	6	2	3	8	10	10	8	3	0	0	5	1	0	0	3	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0
denovo200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	5	18	0	3	0	6	5	0	0	0	0
denovo225	3	22	0	0	0	0	4	0	4	0	0	1	5	0	0	10	0	15	0	0	0	0	0	0	0	0	0	0	0	0
denovo447	12	0	6	4	3	4	4	1	0	1	11	2	0	2	10	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0
denovo398	5	1	0	2	1	0	4	1	0	0	4	0	3	5	4	0	4	3	8	7	2	3	2	1	0	1	0	2	0	0
denovo219	2	2	0	4	5	7	8	7	2	3	5	0	0	0	1	2	8	4	0	0	0	0	0	0	0	0	2	0	1	0
denovo1487	0	0	2	1	1	2	0	0	0	1	6	0	0	4	0	0	0	0	11	3	11	1	3	2	6	0	0	0	3	6
denovo1094	0	2	1	0	2	1	1	0	0	0	0	1	1	0	2	2	0	2	9	12	14	1	3	0	0	3	1	4	1	0
denovo492	4	3	2	1	4	2	10	1	1	4	1	4	3	2	1	4	0	3	2	1	1	0	1	3	2	2	1	0	0	0
denovo1568	4	1	0	11	16	0	0	0	0	1	6	3	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo892	3	1	1	2	1	1	1	2	4	0	2	9	6	1	2	0	3	17	1	0	0	0	0	0	0	0	1	4	1	0
denovo2147	0	0	4	4	6	4	2	11	1	0	1	2	0	0	0	3	3	0	4	2	1	0	3	0	5	5	0	0	1	0
denovo285	0	3	0	0	0	0	3	0	3	1	1	15	4	2	1	10	0	16	0	2	0	0	0	0	0	0	0	0	1	0
denovo439	4	0	2	1	1	6	0	0	0	0	0	6	0	1	4	0	0	1	0	0	1	1	0	11	0	0	2	4	14	3
denovo815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	19	2	0	10	2	0	14	0	2	0	5
denovo173	10	5	2	6	0	1	7	4	5	1	3	3	0	2	3	3	3	2	0	1	0	0	0	0	0	0	0	0	1	0
denovo253	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	6	7	5	0	7	10	3	2	0	8	5	4
denovo319	3	1	3	20	4	1	1	1	0	0	6	4	2	0	7	1	0	3	0	1	0	0	0	0	0	1	1	0	1	1
denovo565	0	0	3	2	2	2	3	3	0	1	3	0	0	6	6	1	1	0	0	0	0	0	0	4	0	0	1	5	0	18
denovo1324	4	0	2	3	5	4	1	0	0	4	8	0	0	2	9	1	1	0	0	0	0	0	0	1	0	0	0	7	0	9
denovo651	3	1	0	2	1	2	4	0	0	0	1	11	0	4	6	0	0	2	3	7	6	1	3	0	1	1	0	0	2	0
denovo721	0	1	1	5	3	0	1	0	1	2	2	3	0	3	5	0	1	3	1	5	2	0	4	7	1	1	0	2	5	2
denovo1574	4	9	2	2	2	2	2	0	2	0	3	3	2	3	1	2	0	5	3	5	0	0	5	1	2	1	0	0	0	0
denovo1856	1	0	1	2	4	2	1	0	0	2	4	0	0	10	7	0	0	0	0	0	0	0	0	5	0	0	0	6	4	12
